week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
20,Tue,2017-12-26,17:30 (01:30),Liverpool,3.3,5–0,0.3,Swansea City,"52,850",Anfield,Kevin Friend,Match Report,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats,https://fbref.com/en/matches/0d761f4b/Liverpool-Swansea-City-December-26-2017-Premier-League,https://fbref.com/en/matches/0d761f4b/Liverpool-Swansea-City-December-26-2017-Premier-League
20,Wed,2017-12-27,19:45 (03:45),Newcastle Utd,0.3,0–1,1.8,Manchester City,"52,311",St. James' Park,Andre Marriner,Match Report,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats,https://fbref.com/en/matches/31a533e7/Newcastle-United-Manchester-City-December-27-2017-Premier-League,https://fbref.com/en/matches/31a533e7/Newcastle-United-Manchester-City-December-27-2017-Premier-League
20,Thu,2017-12-28,20:00 (04:00),Crystal Palace,1.2,2–3,1.2,Arsenal,"25,762",Selhurst Park,Michael Oliver,Match Report,https://fbref.com/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats,https://fbref.com/en/squads/18bb7c10/2017-2018/Arsenal-Stats,https://fbref.com/en/matches/f0510a2c/Crystal-Palace-Arsenal-December-28-2017-Premier-League,https://fbref.com/en/matches/f0510a2c/Crystal-Palace-Arsenal-December-28-2017-Premier-League
21,Sat,2017-12-30,15:00 (23:00),Bournemouth,1.0,2–1,0.8,Everton,"10,497",Vitality Stadium,Lee Probert,Match Report,https://fbref.com/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats,https://fbref.com/en/squads/d3fd31cc/2017-2018/Everton-Stats,https://fbref.com/en/matches/8788e1c3/Bournemouth-Everton-December-30-2017-Premier-League,https://fbref.com/en/matches/8788e1c3/Bournemouth-Everton-December-30-2017-Premier-League
21,Sat,2017-12-30,15:00 (23:00),Chelsea,2.3,5–0,0.3,Stoke City,"41,433",Stamford Bridge,Kevin Friend,Match Report,https://fbref.com/en/squads/cff3d9bb/2017-2018/Chelsea-Stats,https://fbref.com/en/squads/17892952/2017-2018/Stoke-City-Stats,https://fbref.com/en/matches/508f7222/Chelsea-Stoke-City-December-30-2017-Premier-League,https://fbref.com/en/matches/508f7222/Chelsea-Stoke-City-December-30-2017-Premier-League
21,Sat,2017-12-30,15:00 (23:00),Watford,1.1,1–2,1.3,Swansea City,"20,002",Vicarage Road Stadium,Martin Atkinson,Match Report,https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats,https://fbref.com/en/squads/fb10988f/2017-2018/Swansea-City-Stats,https://fbref.com/en/matches/ca2f3a1a/Watford-Swansea-City-December-30-2017-Premier-League,https://fbref.com/en/matches/ca2f3a1a/Watford-Swansea-City-December-30-2017-Premier-League
21,Sat,2017-12-30,15:00 (23:00),Huddersfield,0.1,0–0,1.2,Burnley,"24,095",The John Smith's Stadium,Paul Tierney,Match Report,https://fbref.com/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats,https://fbref.com/en/squads/943e8050/2017-2018/Burnley-Stats,https://fbref.com/en/matches/2a80724c/Huddersfield-Town-Burnley-December-30-2017-Premier-League,https://fbref.com/en/matches/2a80724c/Huddersfield-Town-Burnley-December-30-2017-Premier-League
21,Sat,2017-12-30,15:00 (23:00),Newcastle Utd,0.3,0–0,0.6,Brighton,"52,209",St. James' Park,Anthony Taylor,Match Report,https://fbref.com/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats,https://fbref.com/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/matches/edf48b64/Newcastle-United-Brighton-and-Hove-Albion-December-30-2017-Premier-League,https://fbref.com/en/matches/edf48b64/Newcastle-United-Brighton-and-Hove-Albion-December-30-2017-Premier-League
21,Sat,2017-12-30,15:00 (23:00),Liverpool,2.8,2–1,0.9,Leicester City,"53,226",Anfield,Niel Swarbrick,Match Report,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats,https://fbref.com/en/squads/a2d435b3/2017-2018/Leicester-City-Stats,https://fbref.com/en/matches/a26f1f91/Liverpool-Leicester-City-December-30-2017-Premier-League,https://fbref.com/en/matches/a26f1f91/Liverpool-Leicester-City-December-30-2017-Premier-League
21,Sat,2017-12-30,17:30 (01:30),Manchester Utd,1.4,0–0,0.7,Southampton,"75,051",Old Trafford,Craig Pawson,Match Report,https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats,https://fbref.com/en/squads/33c895d4/2017-2018/Southampton-Stats,https://fbref.com/en/matches/a4051431/Manchester-United-Southampton-December-30-2017-Premier-League,https://fbref.com/en/matches/a4051431/Manchester-United-Southampton-December-30-2017-Premier-League
