league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,34,Mon,2021-05-03,20:45 (02:45),Torino,1.7,1–0,0.4,Parma,,Stadio Olimpico di Torino,Gianluca Aureliano,Match Report,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats,https://fbref.com/en/matches/6c10dfd1/Torino-Parma-May-3-2021-Serie-A,https://fbref.com/en/matches/6c10dfd1/Torino-Parma-May-3-2021-Serie-A
ISA,35,Sat,2021-05-08,15:00 (21:00),Spezia,1.0,1–4,2.3,Napoli,,Stadio Dino Manuzzi,Massimiliano Irrati,Match Report,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/matches/d5d0d3e2/Spezia-Napoli-May-8-2021-Serie-A,https://fbref.com/en/matches/d5d0d3e2/Spezia-Napoli-May-8-2021-Serie-A
ISA,35,Sat,2021-05-08,15:00 (21:00),Udinese,0.5,1–1,2.0,Bologna,,Dacia Arena,Alberto Santoro,Match Report,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats,https://fbref.com/en/matches/d3941f3c/Udinese-Bologna-May-8-2021-Serie-A,https://fbref.com/en/matches/d3941f3c/Udinese-Bologna-May-8-2021-Serie-A
ISA,35,Sat,2021-05-08,18:00 (00:00),Inter,2.0,5–1,1.3,Sampdoria,,Stadio Giuseppe Meazza,Giovanni Ayroldi,Match Report,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/matches/03d222bf/Internazionale-Sampdoria-May-8-2021-Serie-A,https://fbref.com/en/matches/03d222bf/Internazionale-Sampdoria-May-8-2021-Serie-A
ISA,35,Sat,2021-05-08,20:45 (02:45),Fiorentina,1.9,2–0,1.1,Lazio,,Stadio Artemio Franchi,Fabio Maresca,Match Report,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats,https://fbref.com/en/matches/9d555da5/Fiorentina-Lazio-May-8-2021-Serie-A,https://fbref.com/en/matches/9d555da5/Fiorentina-Lazio-May-8-2021-Serie-A
ISA,35,Sun,2021-05-09,12:30 (18:30),Genoa,0.8,1–2,1.6,Sassuolo,,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats,https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A,https://fbref.com/en/matches/42ece542/Genoa-Sassuolo-May-9-2021-Serie-A
ISA,35,Sun,2021-05-09,15:00 (21:00),Parma,1.5,2–5,4.1,Atalanta,,Stadio Ennio Tardini,Antonio Giua,Match Report,https://fbref.com/en/squads/eab4234c/2020-2021/Parma-Stats,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats,https://fbref.com/en/matches/363c8411/Parma-Atalanta-May-9-2021-Serie-A,https://fbref.com/en/matches/363c8411/Parma-Atalanta-May-9-2021-Serie-A
ISA,35,Sun,2021-05-09,15:00 (21:00),Benevento,1.1,1–3,1.7,Cagliari,,Stadio Ciro Vigorito,Daniele Doveri,Match Report,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/matches/d95da5d0/Benevento-Cagliari-May-9-2021-Serie-A,https://fbref.com/en/matches/d95da5d0/Benevento-Cagliari-May-9-2021-Serie-A
ISA,35,Sun,2021-05-09,15:00 (21:00),Hellas Verona,1.8,1–1,0.6,Torino,,Stadio Marc'Antonio Bentegodi,Davide Massa,Match Report,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,https://fbref.com/en/squads/105360fe/2020-2021/Torino-Stats,https://fbref.com/en/matches/228a8ec0/Hellas-Verona-Torino-May-9-2021-Serie-A,https://fbref.com/en/matches/228a8ec0/Hellas-Verona-Torino-May-9-2021-Serie-A
ISA,35,Sun,2021-05-09,18:00 (00:00),Roma,2.1,5–0,0.5,Crotone,,Stadio Olimpico,Simone Sozza,Match Report,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats,https://fbref.com/en/matches/4d002860/Roma-Crotone-May-9-2021-Serie-A,https://fbref.com/en/matches/4d002860/Roma-Crotone-May-9-2021-Serie-A
ISA,35,Sun,2021-05-09,20:45 (02:45),Juventus,1.0,0–3,1.2,Milan,,Allianz Stadium,Paolo Valeri,Match Report,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats,https://fbref.com/en/matches/923a5d9c/Juventus-Milan-May-9-2021-Serie-A,https://fbref.com/en/matches/923a5d9c/Juventus-Milan-May-9-2021-Serie-A
ISA,36,Tue,2021-05-11,20:45 (02:45),Napoli,3.6,5–1,0.1,Udinese,,Stadio San Paolo,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/matches/e138b3d4/Napoli-Udinese-May-11-2021-Serie-A,https://fbref.com/en/matches/e138b3d4/Napoli-Udinese-May-11-2021-Serie-A
ISA,36,Wed,2021-05-12,18:30 (00:30),Cagliari,0.4,0–0,0.1,Fiorentina,,Sardegna Arena,Maurizio Mariani,Match Report,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/matches/cab29e98/Cagliari-Fiorentina-May-12-2021-Serie-A,https://fbref.com/en/matches/cab29e98/Cagliari-Fiorentina-May-12-2021-Serie-A
ISA,36,Wed,2021-05-12,20:45 (02:45),Inter,2.9,3–1,1.5,Roma,,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/matches/0e1a60ab/Internazionale-Roma-May-12-2021-Serie-A,https://fbref.com/en/matches/0e1a60ab/Internazionale-Roma-May-12-2021-Serie-A
